"ZIP","Type","County","Population","Area.Code"
"89044","Standard","Clark",14260,"702"
"89054","Standard","Clark",105,"702 / 725"
"89101","Standard","Clark",46055,"702 / 725"
"89102","Standard","Clark",35759,"702"
"89103","Standard","Clark",50519,"702"
"89104","Standard","Clark",39909,"702 / 725"
"89106","Standard","Clark",25759,"702 / 725"
"89107","Standard","Clark",36282,"702"
"89108","Standard","Clark",70123,"702"
"89109","Standard","Clark",7770,"702"
"89110","Standard","Clark",70994,"702"
"89113","Standard","Clark",23800,"702"
"89115","Standard","Clark",58794,"702"
"89117","Standard","Clark",55416,"702"
"89118","Standard","Clark",19318,"702"
"89119","Standard","Clark",49445,"702 / 725"
"89120","Standard","Clark",23311,"702 / 725"
"89121","Standard","Clark",64096,"702 / 725"
"89122","Standard","Clark",45720,"702 / 725"
"89123","Standard","Clark",56300,"702 / 725"
"89124","Standard","Clark",941,"702 / 725"
"89128","Standard","Clark",35669,"702"
"89129","Standard","Clark",51252,"702"
"89130","Standard","Clark",33015,"702"
"89131","Standard","Clark",43072,"725"
"89134","Standard","Clark",24040,"702"
"89135","Standard","Clark",24144,"702"
"89138","Standard","Clark",12118,"702"
"89139","Standard","Clark",30477,"702"
"89141","Standard","Clark",25150,"702"
"89142","Standard","Clark",33731,"702 / 725"
"89143","Standard","Clark",12786,"702"
"89144","Standard","Clark",18714,"702"
"89145","Standard","Clark",23186,"702"
"89146","Standard","Clark",19071,"702"
"89147","Standard","Clark",49778,"702"
"89148","Standard","Clark",39712,"702"
"89149","Standard","Clark",31143,"702"
"89156","Standard","Clark",27794,"702"
"89161","Standard","Clark",184,"702 / 725"
"89166","Standard","Clark",13209,"702"
"89169","Standard","Clark",23304,"702"
"89178","Standard","Clark",27588,"702"
"89179","Standard","Clark",2340,"702"
"89183","Standard","Clark",36005,"702"
"89191","P.O. Box","Clark",857,"702"
